,pairs
283898,"The White House, in a Friday announcement, touted its love connection with apps like Hinge, Tinder, Match and Bumble giving free access to premium content and a listing of users' current vaccination status  for customers who rolled up their sleeves for a shot. The OK Cupid site will allow customers to filter the unvaccinated from their list of potential dates."
429330,Schools and offices will be open by appointment only in the meantime. Monday's message to families said that the district believes its mitigation strategies are working.
234072,"New Jersey health officials are working on plans to launch a network of statewide vaccination sites to administer booster shots this fall, which could include reopening the “mega-sites” used to administer large numbers of vaccines earlier this year. “We are planning for a range of scenarios,” Health Commissioner Judith Persichilli said."
211641,Did the flu vaccine they gave work that well? Is no one getting the flu anymore?
448056,"But what she described as ""incredible and just wonderful"" was the hug she shared with her sister. More than a year after doing their best to minimize the risk of catching covid, including sanitizing and washing their hands, staying mostly within the confines of their homes and socializing outdoors with few relatives and friends - yet remaining at least six feet apart from one another and wearing masks - Long Island's vaccinated older residents are gradually, and happily, reclaiming their pre-pandemic lives."
206547,"However, understanding these tests, and what they do and do not tell us, is critical for using them effectively. There are two types of covid tests available – PCR tests and rapid antigen tests."
276541,"The man had no links to anyone who had been in China, where the covid outbreak first erupted. A year later, Italy has seen more than 95,000 known dead — Europe’s second-highest covid toll, after Britain."
448938,China is at 72%. The UK is at 66%.
550025,"""Most Americans aged 16 and over will have access to a vaccine in the next week or two,"" she tweeted. ""In Canada, that milestone is far away."
10664,"Talk to a provider inside!"" Two federal agencies late last week lifted an 11-day pause on use of the Johnson & Johnson vaccine."
546264,"Along with urging Illinoisans to get vaccinated, ""I suspect he’s going to talk about passing the infrastructure bill that is also critical for Illinois,"" U.S. Rep. Brad Schneider, a Deerfield Democrat, said of the president. ""My understanding is that we’re going to be voting next week on what the Senate passed in a bipartisan way and I hope the House will pass in a bipartisan way,"" he added referencing a $1 trillion infrastructure plan."
159092,"""These individuals were coming in with injuries from being severely beaten as their first physical incident,"" Scrantz said in a statement provided through a spokesperson. ""We saw many cases in which the escalation of abuse was extremely quick."""
129637,"There have been breakthrough infections among the vaccinated. “However, breakthrough cases generally do not result in severe outcomes, hospitalizations or death,” the response team wrote."
177021,"LAS CRUCES – ""Well, it is official. I've been terminated."""
211922,"Anyone who remains unvaccinated on Nov. 1 will face disciplinary action, including the possibility of termination, the release said. UVA Health will consider requests for exemptions to the vaccine policy for medical and religious reasons and continues to work to answer any questions team members may have about the vaccines."
269783,"Estos datos son importantes debido a que Israel es uno de los países con mayor tasa de vacunados. Esto convierte a esta nación en uno de los países con menos casos graves de covid, gracias a una intensa campaña a favor de la vacunación implementada por las autoridades sanitarias."
129068,"WASHINGTON - President Joe Biden on Thursday announced the federal government has purchased an additional 200 million covid vaccination doses, asserting that the U.S. is on track ""to have enough supply for 300 million Americans by the end of July."" Biden, appearing at the National Institutes of Health, said the administration has purchased 100 million additional doses from Pfizer and 100 million additional doses from Moderna, with both companies pledging to deliver the doses by the end of July, faster than initially anticipated."
417498,"With their exposure to the virus and their contact with sick people, they need every available protection. With all the conflicting news about the COVID these days, it is important to remember two important facts: Vaccines are safe, and vaccines work."
301550,"As of Tuesday, the Curley had been administering about 500 rapid tests a day. The closure of the Curley comes as the pandemic was potentially turning a corner, with vaccines now available to children as young as 5."
314062,"Henderson County had just 25 cases reported, the lowest total since early summer. Daviess, the most populous county, continues to have the highest volume of cases in the region, with 120 Friday in the three-day reporting period of Oct. 19-21."
410277,"It sticks to my neck too. So, yeah, if somebody could explain this, that would be great,"" she said as the key failed to stick to her neck."
53086,"“Everybody is trying to do the right thing.” If judges are encountering outbreaks in their counties, they should react accordingly and then try to get back up and running as soon as possible, he said, adding it’s important to keep in mind that most citizens are compelled to come to court. “You want to follow the Constitution, but you don’t want to issue edicts that force people to come into a situation where they can be infected,” Padgett said."
411282,"Another 497 Brevard County residents have been vaccinated against the covid virus, Florida Department of Health data showed Monday. As of Monday, 269,349 residents, or about 44%, have received at least one dose of a vaccine."
179670,"“It’s a little overwhelming.” For McKinnis and other funeral directors, the pandemic has turned much of their industry on its head and has led to more bodies, slower turnaround on vital records and fewer people at each funeral. And those in funeral homes have seen firsthand the state’s rapid rise in COVID-related deaths over the past couple of months."
101794,"According to the release, DPH culled the 97-percent figure from a review of breakthrough cases in the Commonwealth, and the agency also zeroed in on the unvaccinated population. The review found unvaccinated residents are five times more likely to get infected than fully vaccinated residents, and that unvaccinated residents are 31 times more likely to become infected than fully vaccinated residents who've received a booster, the statement said."
70558,"Individuals can continue scheduling appointments based on availability in their area, through Walgreens.com/ScheduleVaccine or calling 1-800-Walgreens. Resources available for Small Business Week in Cook County The Cook County covid Recovery Small Business Assistance program network on Monday announced its ""Together We Thrive"" initiative and the official launch of Small Business Week in Cook County."
253366,"Still, members of Hawaii’s visitor industry said Tuesday that they viewed the state’s limited vaccination exemption program as a good start that hopefully will create a pathway to ease trans-Pacific travel restrictions before summer bookings are lost. Keith Vieira, principal at KV & Associates, Hospitality Consulting, said, “it’s a positive step that Hawaii is moving in the direction of a vaccination passport and that it’s happening on all islands.”   “Interisland travel spending is way less by nature."
354096,"The Coachella Valley Unified School District on Monday reported a total of 14 active covid cases among students and three among staff. Valle Del Sol Elementary School has three cases, according to the district."
429252,"> Vaccine update With more than 10 million COVID vaccine doses administered thus far, the Illinois Department of Public Health on Wednesday reported around 36% of the state's population is considered fully vaccinated. In McLean County, that percentage is catching up: With more than 131,000 doses given out, around 35% of the county's overall population has either received the ""one-and-done"" Johnson & Johnson vaccine or both doses of Pfizer or Moderna vaccines."
138319,"She notes surrounding states have started vaccinating teachers and points to the fact that 94% of Missouri schools are offering some form of onsite education. “I just think that we also have to consider all the sectors of the community that we touch and that we are associated with,” Valenti said."
309669,"AUGUSTA — The Maine Department of Health and Human Services, in partnership with the Maine Department of Education, has launched a new video competition for Maine children to encourage covid vaccination, following federal recommendation of the Pfizer vaccine for children ages 5-11. DHHS and DOE invite Maine youth ages 5 to 17 to submit 30-second videos that they believe will encourage other children, along with their parents, to get a covid vaccine."
111769,"And now the economic outlook has been clouded yet again by a resurgence of covid cases linked to the highly contagious delta variant. On Wednesday, the Labor Department reported that employers posted 10.9 million job openings in July -- the most on records dating to 2000."
388902,"""We're not discouraged yet."" The problem is international travel, with a less robust recovery in Europe than in the U.S. and reduced travel to China, Hayes said."
311860,"Lane County Public Health reported one death and 27 confirmed or presumptive cases of covid on Tuesday, bringing the death toll to 114 and the countywide case count to 9,235. Prior to Monday, the county had gone 12 consecutive days without a reported death."
511437,"In some regions where the situation is the most threatening, he said, the nonworking period could start as early as Saturday and be extended past Nov. 7. ""Our task today is to protect life and health of our citizens and minimize the consequences of the dangerous infection,"" Putin said in a video call with top officials."
57040,"The program will start Thursday and run through July 7, and anyone age 12 to 17 who gets their first Pfizer shot during that time will be eligible. Get more details."
293163,"New York officials are anticipating making the Pfizer-produced covid vaccine to kids between the ages of 12 and 15 as soon as Thursday, according to Gov. Cuomo."
518468,"No one had yet studied whether the vaccines create persistent responses in key parts of the lymph nodes, the researchers said. Their data was published Monday in the journal Nature."
57695,"Avetian said the vaccines are most effective when two doses are administered. Pfizer vaccine doses are administered about 21 days apart, and Moderna doses are administered about 28 days apart."
90221,Metro Nashville Public Schools has only reported 197 new covid cases among students and staff since fall break — including seven staff cases reported while school was out the week of Oct. 11-15. The number of new cases reported over the past three weeks is only slightly higher than the 193 new confirmed covid cases reported in the week leading up to fall break.
335472,"Rodeada de sonrisas y aplausos, la hispana Marissa Fuentes pudo recibir una segunda oportunidad de vida al ser dada de alta de un hospital de Filadeldia, Pensilvania, después de una ardua batalla contra el covid que duró siete meses y medio. Justamente en Thanksgiving Fuentes, quien vivió situaciones cuesta arriba por los estragos del virus pandémico, pudo reunirse finalmente con su familia."
556447,"“That’s not necessarily giving me a lot of positive thoughts right now. There’s not a lot we can do to control that, outside of trying to get as many of our staff and student-athletes vaccinated.” More for you * Sports Sorenstam struggles, but still leads at U.S. Senior... By Joe Morelli * Sports Birdie binge puts Sorenstam in command at U.S. Senior... By Joe Morelli Some 17 months after the pandemic began and the sports world went dark, and just a couple of months since a euphoric return-to-normal feeling began to sweep the nation, athletic aspirations are again tempered by the potential for complications in areas of health, safety and logistics."
64223,"According to the Tampa Bay Times, a loudspeaker at the stadium “reminded people of an order to wear masks at Super Bowl events, but most did not take heed.”Earlier this week, some of the nation's top health officials sounded the alarm about the Super Bowl potentially being a superspreader event, noting the large gatherings typically associated with it. It did not help matters that Tampa's football team, led by former New England Patriots quarterback Tom Brady, would be playing at their home stadium — as was evident by the celebrations that occurred throughout the weekend."
328440,"The state continues to give more doses to independent pharmacies rather than Walgreens or CVS for use in assisted living centers and other congregate care settings. Walgreens has completed just 16% of its covid vaccination clinics at long-term care facilities in Maine, as the state shifts vaccine doses from national drugstore chains to independent pharmacies."
496664,"Three months later, in June, he finally signed a narrow rule that only covers health care workers - leaving out tens of millions of workers who toil daily in dangerous conditions where covid infections have spread like wildfire. Those industry groups that love to publicly thank their ""essential workers"" - including the National Grocers Association, the North American Meat Institute, the National Retail Federation, and, get this, even the American Hospital Association - also lobbied intensely to exclude these same workers from covid safety protections on the job."
413163,"Andrew Cuomo announced Monday. Then, on April 6, anyone over the age of 16 will be eligible."
3257,"El MundoOPS pide más vacunas para Latinoamérica y el CaribeAssociated PressSi bien las vacunas actuales contra el covid podrían ser efectivas durante alrededor de un año, probablemente no ofrecen protección de por vida, como la del sarampión, afirmó la doctora Kathleen Neuzil, experta en vacunas de la Universidad de Maryland.“Va a estar en algún punto en medio de ese rango tan amplio"", afirmó. ActualidadHospital Industrial anuncia vacunación masiva contra el covidRedacción elvocero.comLas variantes son otro motivo por el que se podría necesitar una inyección adicional."
150339,"This article should be sent to every American on national, state and local health department letterhead. If Ms. Gallardo's article does not make an impact and a segment of society wants to ignore science, perhaps we should all wear the beaked mask of plague doctors reminiscent of the state of affairs during the middle ages."
339296,"A total of 82 employees were suspended: 31 in Fargo 28 in Sioux Falls 16 in Bismarck 7 in Bemidji, Minnesota Employees who did not get vaccinated have been suspended without pay for 60 days. If those workers still choose not to get the vaccine, they will be considered to have ""voluntarily resigned"" from employment, Berg said."
324363,"With no revenue being produced at local performing arts venues and tour productions canceled for the foreseeable future, theaters are becoming increasingly reliant on donations, grants and government relief funding. While some venue presidents, directors and managers remain optimistic as the new year begins, others doubt the industry will ever be what it was before."
530376,"... This will wake up employers to be even safer, if they can."""
109082,"Dr. James Steinberg, a professor of medicine in Emory Universitys Division of Infectious Diseases, said he was fairly concerned about how widespread the B.1.1.7 variant is in Georgia. I would not be concerned if people were masking, not eating in restaurants, and getting vaccinated, he said."
292254,"Two other senators, Roger Wicker, a Republican from Mississippi, and John Hickenlooper, a Democrat from Colorado, also announced Thursday that they had tested positive for the virus. At least 10 other Senators and about 60 members of the House of Representatives have reported positive tests since the first case of covid was detected in the U.S. in January of 2020."
152840,"Archer said Jan. 13 that he began showing symptoms a couple of days before. ""It was evening,"" Archer told The Arizona Republic."
406153,"Districts are also grappling with large numbers of students ordered to quarantine due to potential exposure to the virus. Meanwhile, the Michigan Department of Health and Human Services has offered new quarantine guidance for vaccinated, unvaccinated, masked and unmasked students."
109208,"Washoe County's covid vaccination efforts were humming along just fine before Gov. Steve Sisolak renewed Nevada's mask mandate, according to a spiky letter county commission Chair Bob Lucey recently sent to the governor."
260619,"The city also installed temperature screening device at public entrances. In an effort to prevent covid spread, the city&instituted more rigorous cleaning schedules and protocols at security checkpoint entrances."
377240,"Andrew Cuomo For months, county leaders asked New York state officials to release details about covid vaccination rates for each neighborhood. But the information, which is key to addressing vaccine disparity, remained shrouded in secrecy."
414822,"Phil Scott Vermont has reached a record high of covid hospitalizations, with 90 people receiving hospital care due to the covid as of Dec. 8. Of those people, 31 are in intensive care."
208952,"""I find that shocking. I find that appalling, frankly."
391299,"Arkansas ranked fifth among the states where covid was spreading the fastest on a per-person basis, a USA TODAY Network analysis of Johns Hopkins University data shows. In the latest week covid cases in the United States decreased 19.6% from the week before, with 79,884 cases reported."
184550,"However, while the new strain is more transmissible, he said it does not appear to cause more severe infections, and the mRNA-based vaccines already being distributed have shown the ability to form neutralizing antibodies against it. That does not exempt community members from wearing masks, washing their hands and socially distancing, though."
231774,"And it is just not tenable for us to have a team with a player that comes in and out, no home games, only away games. What do you do in practice then?"
409354,"Unvaccinated individuals have accounted for more than 88% of covid diagnosed hospitalizations for the months of July and August, while fully and partially vaccinated individuals made up 10% or less. The report states adults ages 30 to 64 accounted for 60.4% of hospitalized covid patients in July and August."
261447,"On Monday, 40,354 more people received covid shots, a drop from the seven-day average of 63,772, the Illinois Department of Public Health reported. As of Tuesday, the federal government has delivered 2,474,875 doses of vaccine to Illinois since distribution began in mid-December, and 1,863,562 vaccines have been administered."
193835,"John Craig, A spokesman for the Office of Children and Family Services ALBANY – On Wednesday, millions of vaccinated people across New York were able to ditch their COVID-era masks in most public settings as the state relaxed its face-covering mandate to align with CDC guidance. Toddlers weren't so lucky."
91687,"However, its poll found 51.9% oppose an employer requiring vaccinations for workers or customers. ""Those who are opposed are really opposed,"" said Sandy Baruah, president and chief executive officer of the chamber."
372042,"(His Eminence) faithfully prayed the Rosary for those suffering from the virus. On this Vigil of the Assumption, let us now pray the Rosary for him,"" the tweet said."
424464,The board gave Hopkins the ability to form the remainder of the committee with each member being approved. Lillibridge has been vocal about his experience working in Colby College’s covid testing facility and has shared his expertise on the matter at board meetings when determining covid guidelines.
132060,"Michelle Lujan Grisham, who appeared with Scrase at the conference, said, ""We know the pandemic is not over and we are at a pivotal moment in our state."" Yet for now, New Mexico is relying on a return to universal indoor masking and expanded vaccine requirements as the primary defenses of the state's hospitals and economic recovery."
526133,"Especially people who are older; they dont want to get COVID.I Kuan Chiu, a second-year student majoring in mass communications, said as an international student and someone who has been vaccinated, hes looking forward to seeing a full return. Though he said he had a course in person this semester, the experience wasnt the same."
309887,More than 2million seniors are home-bound and do not have access to transportation. And 5million more seniors and people with disabilities have health conditions that make it difficult to go outside.
545274,"Baptist Health Lexington has had a ""twinspirational"" last few months. The hospital has had 18 sets of twins born since the year began, a 3% increase from this time last year."
305657,"Students who live outside the district also can sign up to be vaccinated at Huntley High School if space allows. The Pfizer vaccine is approved for people ages 12 and older, so younger students in District 158 will be unable to get the vaccine at this clinic."
112862,The announcement means the priority groups for Phase Two are:1. People aged 75 and older2.
